sample,richness,neutral,prevalence,copy_threshold,method
H07,11,6.03781574469289,p20,t0,16S
H12,21,4.278437559112685,p20,t0,16S
P01,7,2.450170867597754,p20,t0,16S
E30,115,1.8597181848071676,p20,t0,16S
H10,31,8.259076114779138,p20,t0,16S
P47,39,13.183871578376953,p20,t0,16S
P67,9,3.3425497962985182,p20,t0,16S
P79,12,3.5249272265446385,p20,t0,16S
H39,14,3.1953363997656026,p20,t0,16S
P25,9,2.5646171091790486,p20,t0,16S
E25,15,4.040244495813776,p30,t0,16S
E31,13,6.618045819314734,p30,t0,16S
H19,15,11.651673742678668,p30,t0,16S
H40,5,1.3518535850764075,p30,t0,16S
H45,7,2.7583530815350956,p30,t0,16S
P33,10,4.200566268524505,p30,t0,16S
E44,61,13.288469437840634,p30,t0,16S
E56,6,2.9261803677046627,p30,t0,16S
H06,13,5.141866248545155,p30,t0,16S
H43,5,3.099094303971472,p30,t0,16S
P05,3,1.0798739119305485,p30,t0,16S
P65,4,2.7536262446772977,p30,t0,16S
P75,5,3.1307062308459717,p30,t0,16S
H09,11,3.3033179573884173,p30,t0,16S
H47,5,1.2717656380898903,p30,t0,16S
P43,1,1,p30,t0,16S
P45,4,2.6661533071586923,p30,t0,16S
E18,27,3.9958144248014484,p30,t0,16S
E48,86,20.437783946623945,p30,t0,16S
H34,12,5.189872160731669,p30,t0,16S
H37,7,1.4109753465421646,p30,t0,16S
P09,2,1.0900332507587076,p30,t0,16S
P64,6,3.5402929964490912,p30,t0,16S
E58,23,3.018542041650819,p30,t0,16S
P36,6,5.091256118013699,p30,t0,16S
P58,13,4.894614058194653,p30,t0,16S
E27,65,9.070384643611359,p30,t0,16S
H08,9,2.6974843466924003,p30,t0,16S
H20,16,7.409198983871525,p30,t0,16S
H23,12,5.04097096758084,p30,t0,16S
P53,3,1.6958112201080808,p30,t0,16S
E34,25,11.07638654554001,p30,t0,16S
H16,10,3.777260451292072,p30,t0,16S
H25,14,4.462400291757932,p30,t0,16S
P14,2,1.0144236321559483,p30,t0,16S
P34,6,3.011401389503345,p30,t0,16S
P51,5,2.682096482108137,p30,t0,16S
P60,6,2.137579439345633,p30,t0,16S
P72,7,1.540228895001688,p30,t0,16S
H32,10,5.031831229781616,p30,t0,16S
P48,8,2.908415696445632,p30,t0,16S
H07,9,4.858148044942932,p30,t0,16S
H12,11,2.940575735475099,p30,t0,16S
P01,5,1.4385425226653412,p30,t0,16S
E30,61,1.4191208763537335,p30,t0,16S
H10,14,4.480119580254581,p30,t0,16S
P47,12,4.870747078367145,p30,t0,16S
P67,8,3.2411143619301566,p30,t0,16S
P79,9,1.6833273510496884,p30,t0,16S
H39,11,2.955446425223618,p30,t0,16S
P25,7,2.3205505454117272,p30,t0,16S
E25,9,2.7332766897363805,p40,t0,16S
E31,5,2.7498923778184245,p40,t0,16S
H19,10,7.242569658897812,p40,t0,16S
H40,5,1.3518535850764075,p40,t0,16S
H45,6,2.69700335186518,p40,t0,16S
P33,5,3.238696148864147,p40,t0,16S
E44,31,13.733203749374283,p40,t0,16S
E56,3,2.7734418817095468,p40,t0,16S
H06,9,3.977227558830503,p40,t0,16S
H43,5,3.099094303971472,p40,t0,16S
P65,1,1,p40,t0,16S
P75,2,1.9804318234400027,p40,t0,16S
H09,9,2.7639051480540573,p40,t0,16S
H47,4,1.2381115510471186,p40,t0,16S
P43,1,1,p40,t0,16S
P45,1,1,p40,t0,16S
E18,13,2.554074101081951,p40,t0,16S
E48,30,6.817827635681606,p40,t0,16S
H34,10,4.439768441415543,p40,t0,16S
H37,7,1.4109753465421646,p40,t0,16S
P09,1,1,p40,t0,16S
P64,3,1.3233033427705079,p40,t0,16S
E58,10,2.3543003035895187,p40,t0,16S
P36,3,2.841366104598737,p40,t0,16S
P58,6,2.4950894817728653,p40,t0,16S
E27,33,5.142141318816496,p40,t0,16S
H08,8,2.6207919264574406,p40,t0,16S
H20,11,4.094965165722685,p40,t0,16S
H23,6,2.7611425967302936,p40,t0,16S
P53,3,1.6958112201080808,p40,t0,16S
E34,17,7.7981772374818705,p40,t0,16S
H16,6,3.163121583117033,p40,t0,16S
H25,11,3.4084130045251113,p40,t0,16S
P14,1,1,p40,t0,16S
P34,2,1.4627851859881698,p40,t0,16S
P51,2,1.9211294565958572,p40,t0,16S
P60,3,1.7250690680066467,p40,t0,16S
P72,4,3.6599792512851193,p40,t0,16S
H32,10,5.031831229781616,p40,t0,16S
P48,4,1.9538608911163347,p40,t0,16S
H07,7,3.8463702624798035,p40,t0,16S
H12,10,2.933052823753676,p40,t0,16S
P01,3,2.5113603725377747,p40,t0,16S
E30,24,1.1857392070870587,p40,t0,16S
H10,10,3.2009297765107263,p40,t0,16S
P47,5,2.311781730788341,p40,t0,16S
P67,6,2.7178343541903556,p40,t0,16S
P79,4,3.738673115204687,p40,t0,16S
H39,10,2.8553059046533873,p40,t0,16S
P25,5,2.664008164535817,p40,t0,16S
E25,48,13.744556877699448,p0,t1,16S
E31,81,37.0650901491913,p0,t1,16S
H19,124,47.39852171469035,p0,t1,16S
H40,57,13.521125621143218,p0,t1,16S
H45,49,9.28768026415723,p0,t1,16S
P33,81,6.859061445657759,p0,t1,16S
E44,237,43.70109686585134,p0,t1,16S
E56,43,21.893074075886098,p0,t1,16S
H06,121,14.883008713009026,p0,t1,16S
H43,59,19.313296092023215,p0,t1,16S
P05,13,3.0076260588654513,p0,t1,16S
P65,70,33.734631217565855,p0,t1,16S
P75,108,9.208222643441195,p0,t1,16S
H09,251,31.522424924503525,p0,t1,16S
H47,127,21.318720656086814,p0,t1,16S
P43,7,1.1338593718576817,p0,t1,16S
P45,99,15.420764853686139,p0,t1,16S
E18,128,15.276980293426721,p0,t1,16S
E48,509,120.70971942932442,p0,t1,16S
H34,93,17.778447382923112,p0,t1,16S
H37,28,5.786396935984279,p0,t1,16S
P09,14,4.96231267916358,p0,t1,16S
P64,133,31.77704689654431,p0,t1,16S
E58,114,9.642292103681323,p0,t1,16S
P36,406,72.13300164188196,p0,t1,16S
P58,139,25.706039194256476,p0,t1,16S
E27,163,23.441871974764826,p0,t1,16S
H08,59,5.691128360946355,p0,t1,16S
H20,111,33.67039416641157,p0,t1,16S
H23,82,15.436391467201414,p0,t1,16S
P53,25,3.925995908867025,p0,t1,16S
E34,44,18.012508958322517,p0,t1,16S
H16,45,10.79993505692241,p0,t1,16S
H25,125,10.668826242462007,p0,t1,16S
P14,27,4.774707619437139,p0,t1,16S
P34,132,23.269846855660006,p0,t1,16S
P51,65,19.893232895545896,p0,t1,16S
P60,51,12.078710417315124,p0,t1,16S
P72,20,5.659320927350695,p0,t1,16S
H32,114,17.24798422443144,p0,t1,16S
P48,182,35.94814375763292,p0,t1,16S
H07,56,19.05491699413968,p0,t1,16S
H12,98,16.72725169154892,p0,t1,16S
P01,30,4.0950278766825035,p0,t1,16S
E30,187,2.4234172350077907,p0,t1,16S
H10,118,24.991720981469545,p0,t1,16S
P47,193,46.81511786956144,p0,t1,16S
P67,51,14.979604445890859,p0,t1,16S
P79,50,5.360811071033745,p0,t1,16S
H39,96,8.493267837488402,p0,t1,16S
P25,35,12.434762355927553,p0,t1,16S
E25,48,13.744556877699448,p10,t1,16S
E31,81,37.0650901491913,p10,t1,16S
H19,65,31.698076361500544,p10,t1,16S
H40,23,7.087365236447651,p10,t1,16S
H45,19,6.483797304742217,p10,t1,16S
P33,27,3.835427139298897,p10,t1,16S
E44,237,43.70109686585134,p10,t1,16S
E56,43,21.893074075886098,p10,t1,16S
H06,41,6.880018179165763,p10,t1,16S
H43,23,12.762661684562017,p10,t1,16S
P05,8,1.9122170369685052,p10,t1,16S
P65,60,27.976659994973538,p10,t1,16S
P75,18,3.2208783328603268,p10,t1,16S
H09,39,7.431802672170601,p10,t1,16S
H47,25,8.432925331157518,p10,t1,16S
P43,4,1.0457116039598406,p10,t1,16S
P45,19,4.055092714723918,p10,t1,16S
E18,128,15.276980293426721,p10,t1,16S
E48,509,120.70971942932442,p10,t1,16S
H34,22,7.565714783328609,p10,t1,16S
H37,14,2.3711621844092567,p10,t1,16S
P09,6,2.3361249077663158,p10,t1,16S
P64,72,22.539408937291185,p10,t1,16S
E58,114,9.642292103681323,p10,t1,16S
P36,28,8.44367638969817,p10,t1,16S
P58,33,6.261272683534262,p10,t1,16S
E27,163,23.441871974764826,p10,t1,16S
H08,33,3.6941355222769334,p10,t1,16S
H20,68,24.761713193968014,p10,t1,16S
H23,59,10.752857149579869,p10,t1,16S
P53,8,3.251780954526871,p10,t1,16S
E34,44,18.012508958322517,p10,t1,16S
H16,24,5.523042825244331,p10,t1,16S
H25,54,7.104338903499136,p10,t1,16S
P14,9,1.9668996880946168,p10,t1,16S
P34,23,8.083583906173699,p10,t1,16S
P51,16,7.1653948868134405,p10,t1,16S
P60,11,2.78003331409195,p10,t1,16S
P72,10,2.6532542118332993,p10,t1,16S
H32,45,11.280342351364723,p10,t1,16S
P48,82,23.12611655540731,p10,t1,16S
H07,30,16.790779446714524,p10,t1,16S
H12,39,9.295777539230958,p10,t1,16S
P01,8,2.5211991506612472,p10,t1,16S
E30,187,2.4234172350077907,p10,t1,16S
H10,57,14.79767631113797,p10,t1,16S
P47,90,26.7657022813455,p10,t1,16S
P67,17,4.6100637590958256,p10,t1,16S
P79,19,3.913510001114452,p10,t1,16S
H39,28,3.8498095084924278,p10,t1,16S
P25,15,5.335573739383589,p10,t1,16S
E25,32,8.063956037695595,p20,t1,16S
E31,18,9.717443038260248,p20,t1,16S
H19,39,21.924158845452702,p20,t1,16S
H40,8,3.2213906138906316,p20,t1,16S
H45,11,3.5262276363373313,p20,t1,16S
P33,20,4.797355872544355,p20,t1,16S
E44,136,23.82062873708857,p20,t1,16S
E56,23,13.150613828279814,p20,t1,16S
H06,21,3.3767635981411797,p20,t1,16S
H43,10,5.8595795345998685,p20,t1,16S
P05,6,1.2165230723333396,p20,t1,16S
P65,23,12.622305338987312,p20,t1,16S
P75,8,5.291788380076718,p20,t1,16S
H09,15,4.768560274571671,p20,t1,16S
H47,11,3.592050534813547,p20,t1,16S
P43,2,1.9378192408783848,p20,t1,16S
P45,10,2.9229149729813937,p20,t1,16S
E18,43,9.327569260552679,p20,t1,16S
E48,196,52.437325198402924,p20,t1,16S
H34,16,5.755284959733919,p20,t1,16S
H37,8,1.9173855414654175,p20,t1,16S
P09,3,1.1435968659875335,p20,t1,16S
P64,27,11.899124862876409,p20,t1,16S
E58,25,3.9514296858571054,p20,t1,16S
P36,19,13.866540927818033,p20,t1,16S
P58,16,6.2136699050522175,p20,t1,16S
E27,98,15.877190157357166,p20,t1,16S
H08,15,4.657489296973102,p20,t1,16S
H20,39,18.570060849516143,p20,t1,16S
H23,36,8.39223735881414,p20,t1,16S
P53,4,2.67202933335555,p20,t1,16S
E34,30,13.035238736137782,p20,t1,16S
H16,13,4.077679221721231,p20,t1,16S
H25,27,3.3558312155864516,p20,t1,16S
P14,4,1.1199831804051046,p20,t1,16S
P34,11,5.671331926950123,p20,t1,16S
P51,7,2.9916072448974718,p20,t1,16S
P60,8,2.2452079015720643,p20,t1,16S
P72,7,1.540228895001688,p20,t1,16S
H32,18,7.300761188891164,p20,t1,16S
P48,30,10.24433273398115,p20,t1,16S
H07,11,6.03781574469289,p20,t1,16S
H12,18,4.2377235793856425,p20,t1,16S
P01,7,2.450170867597754,p20,t1,16S
E30,98,1.8287554184297983,p20,t1,16S
H10,31,8.259076114779138,p20,t1,16S
P47,37,12.871546704150973,p20,t1,16S
P67,9,3.3425497962985182,p20,t1,16S
P79,12,3.5249272265446385,p20,t1,16S
H39,14,3.1953363997656026,p20,t1,16S
P25,9,2.5646171091790486,p20,t1,16S
E25,12,3.9742435812026224,p30,t1,16S
E31,12,6.174059344468197,p30,t1,16S
H19,14,10.669606223641182,p30,t1,16S
H40,5,1.3518535850764075,p30,t1,16S
H45,7,2.7583530815350956,p30,t1,16S
P33,10,4.200566268524505,p30,t1,16S
E44,54,12.412286467492777,p30,t1,16S
E56,6,2.9261803677046627,p30,t1,16S
H06,13,5.141866248545155,p30,t1,16S
H43,5,3.099094303971472,p30,t1,16S
P05,3,1.0798739119305485,p30,t1,16S
P65,4,2.7536262446772977,p30,t1,16S
P75,5,3.1307062308459717,p30,t1,16S
H09,11,3.3033179573884173,p30,t1,16S
H47,5,1.2717656380898903,p30,t1,16S
P43,1,1,p30,t1,16S
P45,4,2.6661533071586923,p30,t1,16S
E18,25,3.9906549096232475,p30,t1,16S
E48,72,18.904808838604016,p30,t1,16S
H34,11,4.510955555155894,p30,t1,16S
H37,7,1.4109753465421646,p30,t1,16S
P09,2,1.0900332507587076,p30,t1,16S
P64,6,3.5402929964490912,p30,t1,16S
E58,17,2.899085166966607,p30,t1,16S
P36,6,5.091256118013699,p30,t1,16S
P58,13,4.894614058194653,p30,t1,16S
E27,58,8.777079408892632,p30,t1,16S
H08,9,2.6974843466924003,p30,t1,16S
H20,15,7.073525726143837,p30,t1,16S
H23,11,4.730635155103945,p30,t1,16S
P53,3,1.6958112201080808,p30,t1,16S
E34,24,10.694853073769977,p30,t1,16S
H16,9,3.644431388942514,p30,t1,16S
H25,13,4.4178383653909314,p30,t1,16S
P14,2,1.0144236321559483,p30,t1,16S
P34,6,3.011401389503345,p30,t1,16S
P51,5,2.682096482108137,p30,t1,16S
P60,6,2.137579439345633,p30,t1,16S
P72,7,1.540228895001688,p30,t1,16S
H32,10,5.031831229781616,p30,t1,16S
P48,8,2.908415696445632,p30,t1,16S
H07,9,4.858148044942932,p30,t1,16S
H12,10,2.933052823753676,p30,t1,16S
P01,5,1.4385425226653412,p30,t1,16S
E30,53,1.411971246783864,p30,t1,16S
H10,14,4.480119580254581,p30,t1,16S
P47,12,4.870747078367145,p30,t1,16S
P67,8,3.2411143619301566,p30,t1,16S
P79,9,1.6833273510496884,p30,t1,16S
H39,11,2.955446425223618,p30,t1,16S
P25,7,2.3205505454117272,p30,t1,16S
E25,8,2.71683397674175,p40,t1,16S
E31,5,2.7498923778184245,p40,t1,16S
H19,10,7.242569658897812,p40,t1,16S
H40,5,1.3518535850764075,p40,t1,16S
H45,6,2.69700335186518,p40,t1,16S
P33,5,3.238696148864147,p40,t1,16S
E44,30,13.227236541701492,p40,t1,16S
E56,3,2.7734418817095468,p40,t1,16S
H06,9,3.977227558830503,p40,t1,16S
H43,5,3.099094303971472,p40,t1,16S
P65,1,1,p40,t1,16S
P75,2,1.9804318234400027,p40,t1,16S
H09,8,2.7374730636887024,p40,t1,16S
H47,4,1.2381115510471186,p40,t1,16S
P43,1,1,p40,t1,16S
P45,1,1,p40,t1,16S
E18,12,2.5496152912975436,p40,t1,16S
E48,28,6.691260932821161,p40,t1,16S
H34,9,3.7274332222096214,p40,t1,16S
H37,6,1.3717745184187444,p40,t1,16S
P09,1,1,p40,t1,16S
P64,3,1.3233033427705079,p40,t1,16S
E58,9,2.3526851755547122,p40,t1,16S
P36,3,2.841366104598737,p40,t1,16S
P58,6,2.4950894817728653,p40,t1,16S
E27,31,5.121485563673497,p40,t1,16S
H08,7,2.21290052134659,p40,t1,16S
H20,11,4.094965165722685,p40,t1,16S
H23,6,2.7611425967302936,p40,t1,16S
P53,3,1.6958112201080808,p40,t1,16S
E34,17,7.7981772374818705,p40,t1,16S
H16,5,3.1496932892280065,p40,t1,16S
H25,10,3.3700127784292473,p40,t1,16S
P14,1,1,p40,t1,16S
P34,2,1.4627851859881698,p40,t1,16S
P51,2,1.9211294565958572,p40,t1,16S
P60,3,1.7250690680066467,p40,t1,16S
P72,4,3.6599792512851193,p40,t1,16S
H32,10,5.031831229781616,p40,t1,16S
P48,4,1.9538608911163347,p40,t1,16S
H07,7,3.8463702624798035,p40,t1,16S
H12,10,2.933052823753676,p40,t1,16S
P01,3,2.5113603725377747,p40,t1,16S
E30,22,1.179627383109738,p40,t1,16S
H10,9,3.161273551264028,p40,t1,16S
P47,5,2.311781730788341,p40,t1,16S
P67,6,2.7178343541903556,p40,t1,16S
P79,4,3.738673115204687,p40,t1,16S
H39,9,2.776970866813888,p40,t1,16S
P25,5,2.664008164535817,p40,t1,16S
E25,37,13.293586135274928,p0,t2,16S
E31,74,36.19929135842139,p0,t2,16S
H19,75,42.92711496457775,p0,t2,16S
H40,42,13.040029007321875,p0,t2,16S
H45,25,8.716953512610353,p0,t2,16S
P33,22,5.870993169132784,p0,t2,16S
E44,116,32.41916969336365,p0,t2,16S
E56,43,21.893074075886098,p0,t2,16S
H06,56,12.796570479172008,p0,t2,16S
H43,49,18.58730287421434,p0,t2,16S
P05,12,2.988083726285179,p0,t2,16S
P65,67,33.33490827088243,p0,t2,16S
P75,43,7.891799733891113,p0,t2,16S
H09,79,21.70647803256002,p0,t2,16S
H47,54,18.54785521548518,p0,t2,16S
P43,7,1.1338593718576817,p0,t2,16S
P45,55,13.592178434805039,p0,t2,16S
E18,46,12.678451200494827,p0,t2,16S
E48,155,65.68736521038949,p0,t2,16S
H34,54,15.676885579493751,p0,t2,16S
H37,20,5.610436300728242,p0,t2,16S
P09,14,4.96231267916358,p0,t2,16S
P64,68,27.37179925019184,p0,t2,16S
E58,52,8.129582540356765,p0,t2,16S
P36,151,42.82484334841162,p0,t2,16S
P58,71,22.697012035697554,p0,t2,16S
E27,59,18.49630949555656,p0,t2,16S
H08,35,5.247714123725977,p0,t2,16S
H20,66,30.835518966318176,p0,t2,16S
H23,52,14.387511682873749,p0,t2,16S
P53,12,3.7647963299413676,p0,t2,16S
E34,43,17.940447243059108,p0,t2,16S
H16,33,10.400976881290116,p0,t2,16S
H25,43,9.02075620076995,p0,t2,16S
P14,14,4.614031471174369,p0,t2,16S
P34,56,19.4576853665895,p0,t2,16S
P51,48,19.286000029210644,p0,t2,16S
P60,37,11.574511586081455,p0,t2,16S
P72,18,5.6482691778526455,p0,t2,16S
H32,47,14.76851292561311,p0,t2,16S
P48,89,29.068493748649374,p0,t2,16S
H07,40,18.29364775667497,p0,t2,16S
H12,52,15.104119504808722,p0,t2,16S
P01,16,3.8770623556549615,p0,t2,16S
E30,29,1.5295034824179246,p0,t2,16S
H10,58,21.639893051259214,p0,t2,16S
P47,89,37.94911143552337,p0,t2,16S
P67,33,14.30789134501069,p0,t2,16S
P79,17,4.935535532850829,p0,t2,16S
H39,48,7.231995978323604,p0,t2,16S
P25,24,12.152851051936624,p0,t2,16S
E25,37,13.293586135274928,p10,t2,16S
E31,74,36.19929135842139,p10,t2,16S
H19,46,29.054077326129107,p10,t2,16S
H40,12,5.767294177356436,p10,t2,16S
H45,12,4.975357174517329,p10,t2,16S
P33,9,4.989412426978327,p10,t2,16S
E44,116,32.41916969336365,p10,t2,16S
E56,43,21.893074075886098,p10,t2,16S
H06,23,5.009328621865542,p10,t2,16S
H43,18,11.792549414226253,p10,t2,16S
P05,6,1.2834724907716337,p10,t2,16S
P65,35,19.45315012746264,p10,t2,16S
P75,9,1.6078172588645907,p10,t2,16S
H09,19,6.803129705507646,p10,t2,16S
H47,9,4.761338370658444,p10,t2,16S
P43,2,1.9378192408783848,p10,t2,16S
P45,14,3.993610725792526,p10,t2,16S
E18,46,12.678451200494827,p10,t2,16S
E48,155,65.68736521038949,p10,t2,16S
H34,19,6.855456699207655,p10,t2,16S
H37,11,2.304215829372629,p10,t2,16S
P09,6,2.3361249077663158,p10,t2,16S
P64,34,17.192779954595924,p10,t2,16S
E58,52,8.129582540356765,p10,t2,16S
P36,11,5.044308272638109,p10,t2,16S
P58,17,5.338416019288641,p10,t2,16S
E27,59,18.49630949555656,p10,t2,16S
H08,21,3.3877607861074113,p10,t2,16S
H20,46,21.981877881555434,p10,t2,16S
H23,39,9.729009081513984,p10,t2,16S
P53,5,2.770144249405074,p10,t2,16S
E34,43,17.940447243059108,p10,t2,16S
H16,14,5.099885459506869,p10,t2,16S
H25,20,4.914404181096176,p10,t2,16S
P14,3,1.8901911878433753,p10,t2,16S
P34,12,6.301891229087452,p10,t2,16S
P51,11,5.845237976945783,p10,t2,16S
P60,6,2.51619060964348,p10,t2,16S
P72,7,2.5321728454950536,p10,t2,16S
H32,24,9.572677765990287,p10,t2,16S
P48,39,15.78847312372643,p10,t2,16S
H07,21,14.276866166548146,p10,t2,16S
H12,25,8.231423596643673,p10,t2,16S
P01,4,2.350826273118455,p10,t2,16S
E30,29,1.5295034824179246,p10,t2,16S
H10,34,12.738453845825504,p10,t2,16S
P47,43,18.931098268094082,p10,t2,16S
P67,8,4.24263915446792,p10,t2,16S
P79,9,3.711335896384309,p10,t2,16S
H39,17,3.575147047944341,p10,t2,16S
P25,10,4.329114815826475,p10,t2,16S
E25,26,7.869874999835518,p20,t2,16S
E31,13,7.1007034739703245,p20,t2,16S
H19,25,19.516487902408162,p20,t2,16S
H40,6,2.546679497934634,p20,t2,16S
H45,9,3.4976821478672404,p20,t2,16S
P33,6,4.103425197922062,p20,t2,16S
E44,48,10.593862201889461,p20,t2,16S
E56,13,7.571324609740058,p20,t2,16S
H06,11,2.408092706667726,p20,t2,16S
H43,8,5.448885346715246,p20,t2,16S
P05,4,1.1376328865204088,p20,t2,16S
P65,7,5.109150477486081,p20,t2,16S
P75,2,1.9804318234400027,p20,t2,16S
H09,10,4.654817848104913,p20,t2,16S
H47,4,1.9144379310941506,p20,t2,16S
P43,2,1.9378192408783848,p20,t2,16S
P45,6,2.211820563521898,p20,t2,16S
