	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3306	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA
ASV_3307	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
ASV_3308	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	NA
ASV_3309	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	NA
ASV_3310	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	NA	NA
ASV_3311	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA
ASV_3312	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hydrogenoanaerobacterium	NA	NA
ASV_3313	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA
ASV_3314	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Robinsoniella	NA
ASV_3315	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Anaerorhabdus] furcosa group	NA
ASV_3316	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA
ASV_3317	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	NA	NA
ASV_3318	Bacteria	Rs-K70 termite group	NA	NA	NA	NA	NA
ASV_3319	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	NA
ASV_3320	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA
ASV_3321	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Parapusillimonas	NA
ASV_3322	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	NA
ASV_3323	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV_3324	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV_3325	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mangrovibacter	NA
ASV_3326	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
ASV_3327	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA
ASV_3328	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	NA
ASV_3329	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
